package,stars,downloads,gallery,description,CRAN
xmrr,7,24946,TRUE,NA,NA
ggbuildr,NA,24640,NA,Save Incremental Builds of Plots,TRUE
ggheatmap,87,24419,TRUE,Plot Heatmap,TRUE
ggseg,219,24339,TRUE,Plotting Tool for Brain Atlases,TRUE
cytofan,NA,24270,NA,Plot Fan Plots for Cytometry Data using 'ggplot2',TRUE
loon.ggplot,NA,23371,NA,A Grammar of Interactive Graphics,TRUE
ggimg,53,23331,TRUE,Graphics Layers for Plotting Image Data with 'ggplot2',TRUE
ggQQunif,8,23312,TRUE,Compare Big Datasets to the Uniform Distribution,TRUE
ggnormalviolin,NA,23051,NA,A 'ggplot2' Extension to Make Normal Violin Plots,TRUE
ggpie,48,22375,TRUE,"Pie, Donut and Rose Pie Plots",TRUE
ggsolvencyii,NA,22260,NA,A 'ggplot2'-Plot of Composition of Solvency II SCR: SF and IM,TRUE
sportyR,NA,21733,NA,Plot Scaled 'ggplot' Representations of Sports Playing Surfaces,TRUE
ggpath,NA,20823,NA,Robust Image Rendering Support for 'ggplot2',TRUE
ggmulti,NA,19870,NA,High Dimensional Data Visualization,TRUE
ggBubbles,NA,19517,NA,Mini Bubble Plots for Comparison of Discrete Data with 'ggplot2',TRUE
mdthemes,80,19157,TRUE,NA,NA
SparseBiplots,NA,19143,NA,"'HJ-Biplot' using Different Ways of Penalization Plotting with
'ggplot2'",TRUE
ggmice,NA,18451,NA,Visualizations for 'mice' with 'ggplot2',TRUE
ggrcs,NA,17759,NA,Draw Histograms and Restricted Cubic Splines (RCS),TRUE
ggseqplot,14,16808,TRUE,Render Sequence Plots using 'ggplot2',TRUE
ggip,27,16566,TRUE,Data Visualization for IP Addresses and Networks,TRUE
ggarchery,32,16045,TRUE,Flexible Segment Geoms with Arrows for 'ggplot2',TRUE
ggshadow,60,15578,TRUE,Shadow and Glow Geoms for 'ggplot2',TRUE
ggseg3d,NA,14834,NA,Tri-Surface Mesh Plots for Brain Atlases,TRUE
gggrid,NA,14736,NA,Draw with 'grid' in 'ggplot2',TRUE
ggpackets,NA,14522,NA,Package Plot Layers for Easier Portability and Modularization,TRUE
ggHoriPlot,144,14347,TRUE,Horizon Plots for 'ggplot2',TRUE
ggborderline,NA,14081,NA,Line Plots that Pop,TRUE
gwaRs,NA,13962,NA,"Manhattan, Q-Q, and PCA Plots using 'ggplot2'",TRUE
figpatch,NA,13653,NA,"Easily Arrange External Figures with Patchwork Alongside
'ggplot2' Figures",TRUE
