package,description,downloads,CRAN
swimplot,Tools for Creating Swimmers Plots using 'ggplot2',30041,TRUE
tablesgg,"Presentation-Quality Tables, Displayed Using 'ggplot2'",13052,TRUE
tgamtheme,Globe and Mail Graphics Theme for 'ggplot2',12717,TRUE
thematic,"Unified and Automatic 'Theming' of 'ggplot2', 'lattice', and
'base' R Graphics",240616,TRUE
tidyEdSurvey,Integration of 'dplyr' and 'ggplot2' with 'EdSurvey',3584,TRUE
tidyterra,'tidyverse' Methods and 'ggplot2' Helpers for 'terra' Objects,164246,TRUE
tidytext,"Text Mining using 'dplyr', 'ggplot2', and Other Tidy Tools",3936875,TRUE
tinythemes,Lightweight Repackaging of 'Themes' for 'ggplot2',2672,TRUE
treemapify,Draw Treemaps in 'ggplot2',1014544,TRUE
tvthemes,TV Show Themes and Color Palettes for 'ggplot2' Graphics,40119,TRUE
unhcrthemes,UNHCR 'ggplot2' Theme and Colour Palettes,4059,TRUE
waterfalls,Create Waterfall Charts using 'ggplot2' Simply,2581500,TRUE
xkcd,Plotting ggplot2 Graphics in an XKCD Style,78607,TRUE
